city,name,rating,review_count,categories
Denver,Branch & Barrel Distilling,5.0,1,Distilleries
Denver,Branch & Barrel Distilling,5.0,1,Wine Tours
Denver,Branch & Barrel Distilling,5.0,1,Breweries
Denver,Wild Blue Yonder Brewing,4.0,274,Brewpubs
Denver,The Source,4.0,295,Food Court
Denver,The Source,4.0,295,Breweries
Denver,The Source,4.0,295,Food Stands
Denver,J Moe's Brewing Company,4.0,40,Brewpubs
Denver,Our Mutual Friend Brewing Company,4.0,329,Breweries
Denver,Lariat Lodge Brewing,4.0,508,Brewpubs
Denver,Lariat Lodge Brewing,4.0,508,American (Traditional)
Denver,Lariat Lodge Brewing,4.0,508,Venues & Event Spaces
Denver,Hogshead Brewery,4.0,188,Breweries
Denver,Great Divide Barrel Bar,4.0,122,Breweries
Denver,Great Divide Barrel Bar,4.0,122,Beer Bar
Denver,Great Divide Barrel Bar,4.0,122,Beer Tours
Denver,So Many Roads Museum and Brewery,4.0,15,Music Venues
Denver,So Many Roads Museum and Brewery,4.0,15,Breweries
Denver,So Many Roads Museum and Brewery,4.0,15,Museums
Denver,Black Sky Brewery,4.0,215,Breweries
Denver,Black Sky Brewery,4.0,215,Pizza
Denver,FlyteCo Tower,4.0,73,Breweries
Denver,FlyteCo Tower,4.0,73,Mini Golf
Denver,FlyteCo Tower,4.0,73,Pizza
Denver,Grist Brewing,4.0,163,Breweries
Denver,Blue Spruce Brewing - Centennial,4.0,233,Breweries
Denver,Grange Food Hall,4.0,104,American (Traditional)
Denver,Grange Food Hall,4.0,104,Cocktail Bars
Denver,Grange Food Hall,4.0,104,Breweries
Denver,Bierstadt Lagerhaus,4.0,153,Breweries
Denver,Good River Beer,4.5,2,Breweries
Denver,Tivoli Brewing Company,3.5,123,Breweries
Denver,Oskar Blues - Denver,3.5,341,Brewpubs
Denver,Oskar Blues - Denver,3.5,341,American (New)
Denver,Oskar Blues - Denver,3.5,341,Burgers
Denver,Wynkoop Brewing,3.5,1450,American (Traditional)
Denver,Wynkoop Brewing,3.5,1450,Brewpubs
Denver,Wynkoop Brewing,3.5,1450,Tacos
Denver,Windfall Brewing,3.5,76,Steakhouses
Denver,Windfall Brewing,3.5,76,Breweries
Denver,Windfall Brewing,3.5,76,American (New)
Denver,Lariat Lodge Brewing Company,3.5,131,Breweries
Denver,Lariat Lodge Brewing Company,3.5,131,Burgers
Denver,Lariat Lodge Brewing Company,3.5,131,Sandwiches
Denver,Wonderland Brewing,3.5,233,Breweries
Denver,Frolic Brewing,3.5,125,Breweries
Denver,Pints Pub,3.5,377,British
Denver,Pints Pub,3.5,377,Brewpubs
Denver,Echo Brewing,3.5,96,Pizza
Denver,Echo Brewing,3.5,96,Breweries
Denver,Boulder Social,3.5,44,American (New)
Denver,Boulder Social,3.5,44,Brewpubs
Denver,Boulder Social,3.5,44,Pizza
Denver,Pint Brothers,3.5,54,Breweries
Denver,Rockyard Brewing Company,3.5,604,American (Traditional)
Denver,Rockyard Brewing Company,3.5,604,Breweries
Denver,Rockyard Brewing Company,3.5,604,Burgers
Denver,Rock Bottom Restaurant & Brewery,3.5,836,Breweries
Denver,Rock Bottom Restaurant & Brewery,3.5,836,Sports Bars
Denver,Rock Bottom Restaurant & Brewery,3.5,836,American (Traditional)
Denver,Rock Bottom Restaurant & Brewery,3.5,181,American (Traditional)
Denver,Rock Bottom Restaurant & Brewery,3.5,181,Breweries
Denver,New Belgium Brewing,3.5,93,Breweries
Denver,New Belgium Brewing,3.5,93,Beer Bar
Denver,New Belgium Brewing,3.5,93,Sports Bars
Denver,BJ's Restaurant & Brewhouse,3.5,455,Breweries
Denver,BJ's Restaurant & Brewhouse,3.5,455,American (New)
Denver,BJ's Restaurant & Brewhouse,3.5,455,Pizza
Denver,BJ's Restaurant & Brewhouse,3.0,90,American (New)
Denver,BJ's Restaurant & Brewhouse,3.0,90,Breweries
Denver,BJ's Restaurant & Brewhouse,3.0,90,Pizza
Denver,BJ's Restaurant & Brewhouse,3.0,336,American (New)
Denver,BJ's Restaurant & Brewhouse,3.0,336,Breweries
Denver,Gordon Biersch Brewery Restaurant,3.0,280,Breweries
Denver,Gordon Biersch Brewery Restaurant,3.0,280,Bars
Denver,Gordon Biersch Brewery Restaurant,3.0,280,American (New)
Denver,BJ's Restaurant & Brewhouse,3.0,222,American (New)
Denver,BJ's Restaurant & Brewhouse,3.0,222,Breweries
Denver,Great Divide Brewhouse and Kitchen,3.0,202,Brewpubs
Denver,Great Divide Brewhouse and Kitchen,3.0,202,Breakfast & Brunch
Denver,Great Divide Brewhouse and Kitchen,3.0,202,American (Traditional)
Denver,Rock Bottom Restaurant & Brewery,3.0,309,Breweries
Denver,Rock Bottom Restaurant & Brewery,3.0,309,American (Traditional)
Denver,Corkscrews Wine Storage,5.0,6,Self Storage
Denver,Corkscrews Wine Storage,5.0,6,Wine Tasting Room
Denver,Wine Dispensary,5.0,9,"Beer, Wine & Spirits"
Denver,Wine Dispensary,5.0,9,Wine Tasting Room
Denver,Purgatory Cellars,5.0,11,Wine Tasting Room
Denver,The Wine Barrel,5.0,31,Wineries
Denver,Silver Vines Winery,5.0,12,Wine Tasting Room
Denver,Silver Vines Winery,5.0,12,Wine Bars
Denver,Ladron Cellars,5.0,17,Wineries
Denver,Turquoise Mesa Winery,4.5,28,Wineries
Denver,BookCliff Vineyards - Boulder Winery,4.5,26,Wineries
Denver,BookCliff Vineyards - Boulder Winery,4.5,26,Venues & Event Spaces
Denver,Blanchard Family Wines,4.5,104,Wineries
Denver,Blanchard Family Wines,4.5,104,Paint & Sip
Denver,Mystic Mountain,4.5,19,Wine Tasting Room
Denver,Carboy Winery,4.5,132,Wine Bars
Denver,Carboy Winery,4.5,132,Wine Tasting Room
Denver,Kingman Estates Winery,4.5,24,Wineries
Denver,Kingman Estates Winery,4.5,24,Venues & Event Spaces
