categories,name,rating,review_count,location,coordinates,city
"['Japanese', 'Sushi Bars', 'Speakeasies']",Sushi On Me,5.0,250,"{'address1': '71-26 Roosevelt Ave', 'address2': None, 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['71-26 Roosevelt Ave', 'Jackson Heights, NY 11372']}","{'latitude': 40.746444, 'longitude': -73.893947}",NewYork
"['Bars', 'Arcades', 'Venues & Event Spaces']",Wonderville,5.0,23,"{'address1': '1186 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1186 Broadway', 'Brooklyn, NY 11221']}","{'latitude': 40.69245, 'longitude': -73.92751}",NewYork
"['Wine Bars', 'Tapas Bars', 'Sports Bars']",Aunt Bernie's Bar and Jardin,5.0,32,"{'address1': '513 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['513 3rd Ave', 'New York, NY 10016']}","{'latitude': 40.74598, 'longitude': -73.97772}",NewYork
"['Tobacco Shops', 'Cigar Bars']",Maxis Cigar Lounge,5.0,18,"{'address1': '749 Hempstead Turnpike', 'address2': None, 'address3': None, 'city': 'Franklin Square', 'zip_code': '11010', 'country': 'US', 'state': 'NY', 'display_address': ['749 Hempstead Turnpike', 'Franklin Square, NY 11010']}","{'latitude': 40.70659, 'longitude': -73.66764}",NewYork
"['Japanese', 'Beer Bar']",A-un Brooklyn,5.0,18,"{'address1': '156 Knickerbocker Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['156 Knickerbocker Ave', 'New York, NY 11237']}","{'latitude': 40.70416, 'longitude': -73.92799}",NewYork
"['Lounges', 'Cocktail Bars']",Sylk Cove Cocktail Lounge,5.0,9,"{'address1': '1370 Rockaway Pkwy', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11236', 'country': 'US', 'state': 'NY', 'display_address': ['1370 Rockaway Pkwy', 'Brooklyn, NY 11236']}","{'latitude': 40.6462, 'longitude': -73.90368}",NewYork
"['Cocktail Bars', 'Beer Bar']",Crown Alley,5.0,166,"{'address1': '263 West 19th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['263 West 19th St', 'New York, NY 10011']}","{'latitude': 40.742835593003456, 'longitude': -73.99978804723622}",NewYork
['Pubs'],The Commissioner,5.0,163,"{'address1': '247 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['247 5th Ave', 'Brooklyn, NY 11215']}","{'latitude': 40.67488565326687, 'longitude': -73.981396}",NewYork
"['Breweries', 'Beer Bar']",Four City Brewing Company,5.0,35,"{'address1': '55 S Essex Ave', 'address2': '', 'address3': None, 'city': 'Orange', 'zip_code': '07050', 'country': 'US', 'state': 'NJ', 'display_address': ['55 S Essex Ave', 'Orange, NJ 07050']}","{'latitude': 40.7711168581177, 'longitude': -74.2322779074311}",NewYork
"['Cocktail Bars', 'Beer Bar']",Young Ethel's,5.0,35,"{'address1': '506 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['506 5th Ave', 'Brooklyn, NY 11215']}","{'latitude': 40.66716, 'longitude': -73.98817}",NewYork
['Cocktail Bars'],The Dancer,5.0,17,"{'address1': '202 Clinton St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['202 Clinton St', 'New York, NY 10002']}","{'latitude': 40.714, 'longitude': -73.98705}",NewYork
['Bars'],All Night Skate,5.0,38,"{'address1': '54 Rockaway Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['54 Rockaway Ave', 'Brooklyn, NY 11233']}","{'latitude': 40.68192, 'longitude': -73.9116856}",NewYork
['Sports Bars'],Game Day Sports Bar,5.0,29,"{'address1': '5757 Broadway', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10463', 'country': 'US', 'state': 'NY', 'display_address': ['5757 Broadway', 'Bronx, NY 10463']}","{'latitude': 40.88350833, 'longitude': -73.90170833}",NewYork
"['Italian', 'Bars']",AperiBar,5.0,16,"{'address1': '120 W 41st St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['120 W 41st St', 'New York, NY 10036']}","{'latitude': 40.75454487364027, 'longitude': -73.98568263216227}",NewYork
