city,name,rating,review_count,categories,location,latitude,longitude
Denver,Twigs and Twine,4.5,6,Paint Stores,"{'address1': '445 S Saulsbury St', 'address2': 'Unit F', 'address3': '', 'city': 'Lakewood', 'zip_code': '80226', 'country': 'US', 'state': 'CO', 'display_address': ['445 S Saulsbury St', 'Unit F', 'Lakewood, CO 80226']}",39.7085786253169,-105.075204496542
Denver,Catalyst Crystals & Jewelry,5.0,2,Gemstones & Minerals,"{'address1': '1169 S Huron St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80223', 'country': 'US', 'state': 'CO', 'display_address': ['1169 S Huron St', 'Denver, CO 80223']}",39.6955628,-104.9970877
Denver,Reinke Brothers,4.0,62,Costumes,"{'address1': '5663 S Prince St', 'address2': '', 'address3': '', 'city': 'Littleton', 'zip_code': '80120', 'country': 'US', 'state': 'CO', 'display_address': ['5663 S Prince St', 'Littleton, CO 80120']}",39.614272,-105.016704
Denver,Crystal Haven,4.0,10,Gemstones & Minerals,"{'address1': '311 E County Line Rd', 'address2': 'Unit A-3', 'address3': '', 'city': 'Littleton', 'zip_code': '80122', 'country': 'US', 'state': 'CO', 'display_address': ['311 E County Line Rd', 'Unit A-3', 'Littleton, CO 80122']}",39.56718,-104.98505
Denver,Mark Hall Caricature Art,4.0,5,Caricatures,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80013', 'country': 'US', 'state': 'CO', 'display_address': ['Aurora, CO 80013']}",39.655269,-104.7598576
Denver,Rock Creek Farm,4.0,71,Pumpkin Patches,"{'address1': '2005 S 112th St', 'address2': '', 'address3': '', 'city': 'Broomfield', 'zip_code': '80020', 'country': 'US', 'state': 'CO', 'display_address': ['2005 S 112th St', 'Broomfield, CO 80020']}",39.9655609130859,-105.090339660645
Denver,The Bingo Company,4.5,4,Bingo Halls,"{'address1': '6520 Wadsworth Blvd', 'address2': '', 'address3': '', 'city': 'Arvada', 'zip_code': '80003', 'country': 'US', 'state': 'CO', 'display_address': ['6520 Wadsworth Blvd', 'Arvada, CO 80003']}",39.8150778,-105.0811353
Denver,7th Generation Farm,4.0,11,Pumpkin Patches,"{'address1': '1536 Courtesy Road', 'address2': '', 'address3': '', 'city': 'Louisville', 'zip_code': '80027', 'country': 'US', 'state': 'CO', 'display_address': ['1536 Courtesy Road', 'Louisville, CO 80027']}",39.985182,-105.127566
Denver,The Coffee Joint,4.0,11,Cannabis Dispensaries,"{'address1': '1130 Yuma Ct', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80204', 'country': 'US', 'state': 'CO', 'display_address': ['1130 Yuma Ct', 'Denver, CO 80204']}",39.73426,-105.01433
Denver,Turn Of The Century Bingo,4.5,3,Bingo Halls,"{'address1': '1921 S Havana St', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['1921 S Havana St', 'Aurora, CO 80014']}",39.681416,-104.867492
Denver,Barrys Bingo,4.0,13,Bingo Halls,"{'address1': '1860 S Federal Blvd', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80219', 'country': 'US', 'state': 'CO', 'display_address': ['1860 S Federal Blvd', 'Denver, CO 80219']}",39.68303,-105.02432
Denver,Turn II Bingo,3.5,6,Bingo Halls,"{'address1': '7139 Pecos St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['7139 Pecos St', 'Denver, CO 80221']}",39.8269603,-105.0062949
Denver,Cherry Creek Holiday Market,3.5,17,Public Markets,"{'address1': '105 Fillmore St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['105 Fillmore St', 'Denver, CO 80206']}",39.71874480557974,-104.95374064327746
