categories,name,rating,review_count,location,coordinates,city
"['Breweries', 'Pizza', 'Music Venues']",Black Shirt Brewing,4.5,411,"{'address1': '3719 Walnut St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['3719 Walnut St', 'Denver, CO 80205']}","{'latitude': 39.7697672895761, 'longitude': -104.972935177909}",Denver
['Breweries'],Wit's End Brewing Company,4.5,100,"{'address1': '1330 Zuni St', 'address2': 'Unit N', 'address3': 'Strange Craft Beer Company', 'city': 'Denver', 'zip_code': '80204', 'country': 'US', 'state': 'CO', 'display_address': ['1330 Zuni St', 'Unit N', 'Strange Craft Beer Company', 'Denver, CO 80204']}","{'latitude': 39.73725, 'longitude': -105.01524}",Denver
"['Breweries', 'Beer Bar']",Little Machine Beer,4.5,171,"{'address1': '2924 W 20th Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['2924 W 20th Ave', 'Denver, CO 80211']}","{'latitude': 39.74731, 'longitude': -105.02434}",Denver
"['Arcades', 'Breweries', 'Beer Bar']",Someplace Else Brewery,4.5,87,"{'address1': '6425 W 52nd Ave', 'address2': 'Unit 6', 'address3': 'Unit 6/6B', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['6425 W 52nd Ave', 'Unit 6', 'Unit 6/6B', 'Arvada, CO 80002']}","{'latitude': 39.7917514, 'longitude': -105.06766}",Denver
['Breweries'],Berkeley Alley Beer,4.5,138,"{'address1': '4342 Tennyson St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['4342 Tennyson St', 'Denver, CO 80212']}","{'latitude': 39.77606072717789, 'longitude': -105.0435080394685}",Denver
"['Pubs', 'Burgers', 'Breweries']",Mountain Sun Pub & Brewery,4.5,1657,"{'address1': '1535 Pearl St', 'address2': '', 'address3': '', 'city': 'Boulder', 'zip_code': '80302', 'country': 'US', 'state': 'CO', 'display_address': ['1535 Pearl St', 'Boulder, CO 80302']}","{'latitude': 40.01916, 'longitude': -105.2753}",Denver
['Breweries'],Copper Kettle Brewing,4.5,256,"{'address1': '1338 S Valentia St', 'address2': 'Unit 100', 'address3': '', 'city': 'Denver', 'zip_code': '80247', 'country': 'US', 'state': 'CO', 'display_address': ['1338 S Valentia St', 'Unit 100', 'Denver, CO 80247']}","{'latitude': 39.69247, 'longitude': -104.89048}",Denver
['Brewpubs'],Kodiac Brewery,4.5,21,"{'address1': '7685 E Arapahoe Rd', 'address2': None, 'address3': '', 'city': 'Centennial', 'zip_code': '80112', 'country': 'US', 'state': 'CO', 'display_address': ['7685 E Arapahoe Rd', 'Centennial, CO 80112']}","{'latitude': 39.595505, 'longitude': -104.899781}",Denver
"['Pizza', 'Brewpubs']",12 Degree Brewing,4.5,194,"{'address1': '820 Main St', 'address2': 'Ste 2', 'address3': '', 'city': 'Louisville', 'zip_code': '80027', 'country': 'US', 'state': 'CO', 'display_address': ['820 Main St', 'Ste 2', 'Louisville, CO 80027']}","{'latitude': 39.9782742293595, 'longitude': -105.131889007667}",Denver
"['Breweries', 'Venues & Event Spaces']",Dry Dock Brewing,4.5,428,"{'address1': '15120 E Hampden Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['15120 E Hampden Ave', 'Aurora, CO 80014']}","{'latitude': 39.65262, 'longitude': -104.81192}",Denver
['Breweries'],Locavore Beer Works,4.5,185,"{'address1': '5950 S Platte Canyon Rd', 'address2': None, 'address3': '', 'city': 'Littleton', 'zip_code': '80123', 'country': 'US', 'state': 'CO', 'display_address': ['5950 S Platte Canyon Rd', 'Littleton, CO 80123']}","{'latitude': 39.608583, 'longitude': -105.036921}",Denver
"['Cideries', 'Brewpubs', 'American (Traditional)']",The Old Mine,4.5,195,"{'address1': '500 Briggs St', 'address2': None, 'address3': '', 'city': 'Erie', 'zip_code': '80516', 'country': 'US', 'state': 'CO', 'display_address': ['500 Briggs St', 'Erie, CO 80516']}","{'latitude': 40.049129, 'longitude': -105.047502}",Denver
['Breweries'],Landlocked Ales,4.5,52,"{'address1': '3225 S Wadsworth Blvd', 'address2': 'Ste S', 'address3': None, 'city': 'Lakewood', 'zip_code': '80227', 'country': 'US', 'state': 'CO', 'display_address': ['3225 S Wadsworth Blvd', 'Ste S', 'Lakewood, CO 80227']}","{'latitude': 39.65778781623806, 'longitude': -105.08341781165673}",Denver
"['Breweries', 'Beer Bar']",Banded Oak Brewing Company,4.5,77,"{'address1': '470 Broadway', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80203', 'country': 'US', 'state': 'CO', 'display_address': ['470 Broadway', 'Denver, CO 80203']}","{'latitude': 39.72377, 'longitude': -104.9871}",Denver
['Breweries'],Vision Quest Brewery,4.5,46,"{'address1': '2510 47th St', 'address2': 'Unit A2', 'address3': None, 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['2510 47th St', 'Unit A2', 'Boulder, CO 80301']}","{'latitude': 40.0254048407078, 'longitude': -105.244121029973}",Denver
"['Brewpubs', 'American (Traditional)']",Westbound & Down Mill,4.5,13,"{'address1': '2755 Dagny Way', 'address2': 'Ste 101', 'address3': None, 'city': 'Lafayette', 'zip_code': '80026', 'country': 'US', 'state': 'CO', 'display_address': ['2755 Dagny Way', 'Ste 101', 'Lafayette, CO 80026']}","{'latitude': 40.01331, 'longitude': -105.13162}",Denver
['Breweries'],Baere Brewing Company,4.5,136,"{'address1': '320 Broadway', 'address2': 'Unit E', 'address3': '', 'city': 'Denver', 'zip_code': '80203', 'country': 'US', 'state': 'CO', 'display_address': ['320 Broadway', 'Unit E', 'Denver, CO 80203']}","{'latitude': 39.721382361761, 'longitude': -104.987187206748}",Denver
